frame,x,y,conf,detected
0,75.00,210.00,0.67,1
1,75.00,210.00,0.69,1
2,267.00,217.50,0.00,0
3,459.00,225.00,0.67,1
4,331.00,220.00,0.00,0
5,203.00,215.00,0.00,0
6,75.00,210.00,0.68,1
7,75.00,212.00,0.66,1
8,75.00,211.67,0.00,0
9,75.00,211.33,0.00,0
10,75.00,211.00,0.70,1
11,75.00,210.50,0.00,0
12,75.00,210.00,0.67,1
13,75.00,210.00,0.00,0
14,75.00,210.00,0.00,0
15,75.00,210.00,0.00,0
16,75.00,210.00,0.66,1
17,75.00,210.00,0.65,1
18,75.00,210.00,0.00,0
19,75.00,210.00,0.66,1
20,75.00,210.00,0.00,0
21,75.00,210.00,0.00,0
22,75.00,210.00,0.68,1
23,75.00,210.00,0.00,0
24,75.00,210.00,0.00,0
25,75.00,210.00,0.00,0
26,75.00,210.00,0.00,0
27,75.00,210.00,0.65,1
28,74.88,210.12,0.00,0
29,74.75,210.25,0.00,0
30,74.62,210.38,0.00,0
31,74.50,210.50,0.00,0
32,74.38,210.62,0.00,0
33,,,0.00,0
34,,,0.00,0
35,74.00,211.00,0.65,1
36,74.00,210.88,0.00,0
37,74.00,210.75,0.00,0
38,74.00,210.62,0.00,0
39,74.00,210.50,0.00,0
40,74.00,210.38,0.00,0
41,,,0.00,0
42,,,0.00,0
43,74.00,210.00,0.68,1
44,74.00,210.17,0.00,0
45,74.00,210.33,0.00,0
46,74.00,210.50,0.00,0
47,74.00,210.67,0.00,0
48,74.00,210.83,0.00,0
49,74.00,211.00,0.66,1
50,74.50,210.50,0.00,0
51,75.00,210.00,0.66,1
52,75.00,210.10,0.00,0
53,75.00,210.20,0.00,0
54,75.00,210.30,0.00,0
55,75.00,210.40,0.00,0
56,75.00,210.50,0.00,0
57,,,0.00,0
58,,,0.00,0
59,,,0.00,0
60,,,0.00,0
61,75.00,211.00,0.66,1
62,74.67,210.67,0.00,0
63,74.33,210.33,0.00,0
64,74.00,210.00,0.67,1
65,74.00,211.00,0.69,1
66,74.00,210.50,0.00,0
67,74.00,210.00,0.66,1
68,75.00,211.00,0.67,1
69,74.50,211.00,0.00,0
70,74.00,211.00,0.66,1
71,74.12,210.88,0.00,0
72,74.25,210.75,0.00,0
73,74.38,210.62,0.00,0
74,74.50,210.50,0.00,0
75,74.62,210.38,0.00,0
76,,,0.00,0
77,,,0.00,0
78,75.00,210.00,0.67,1
79,75.00,211.00,0.66,1
80,267.00,218.50,0.00,0
81,459.00,226.00,0.69,1
82,407.00,227.14,0.00,0
83,355.00,228.29,0.00,0
84,303.00,229.43,0.00,0
85,251.00,230.57,0.00,0
86,199.00,231.71,0.00,0
87,,,0.00,0
88,95.00,234.00,0.70,1
89,96.00,234.00,0.80,1
90,293.50,241.00,0.00,0
91,491.00,248.00,0.71,1
92,484.00,248.00,0.00,0
93,477.00,248.00,0.00,0
94,470.00,248.00,0.00,0
95,463.00,248.00,0.00,0
96,456.00,248.00,0.00,0
97,,,0.00,0
98,,,0.00,0
99,,,0.00,0
100,,,0.00,0
101,,,0.00,0
102,,,0.00,0
103,,,0.00,0
104,,,0.00,0
105,,,0.00,0
106,,,0.00,0
107,,,0.00,0
108,,,0.00,0
109,,,0.00,0
110,,,0.00,0
111,,,0.00,0
112,,,0.00,0
113,,,0.00,0
114,,,0.00,0
115,323.00,248.00,0.69,1
116,407.00,248.00,0.00,0
117,491.00,248.00,0.67,1
118,491.00,249.00,0.65,1
119,491.00,248.00,0.70,1
120,491.00,248.00,0.72,1
121,49.00,211.00,0.82,1
122,87.00,212.00,0.82,1
123,120.00,214.00,0.84,1
124,160.00,214.00,0.83,1
125,193.00,215.00,0.85,1
126,219.00,218.00,0.89,1
127,257.00,223.00,0.83,1
128,277.00,225.00,0.86,1
129,312.00,226.00,0.83,1
130,338.00,227.00,0.78,1
131,362.00,229.00,0.80,1
132,381.00,229.00,0.80,1
133,394.00,228.00,0.84,1
134,409.00,229.00,0.78,1
135,422.00,228.00,0.78,1
136,425.00,228.00,0.80,1
137,425.00,229.00,0.73,1
