frame,x,y,w,h,conf
0,75.00,210.00,14.00,19.00,0.67
1,75.00,210.00,14.00,19.00,0.69
3,459.00,225.00,23.00,34.00,0.67
6,75.00,210.00,14.00,19.00,0.68
7,75.00,212.00,14.00,18.00,0.66
10,75.00,211.00,15.00,18.00,0.70
12,75.00,210.00,14.00,19.00,0.67
16,75.00,210.00,14.00,19.00,0.66
17,75.00,210.00,14.00,19.00,0.65
19,75.00,210.00,14.00,19.00,0.66
22,75.00,210.00,14.00,19.00,0.68
27,75.00,210.00,14.00,19.00,0.65
35,74.00,211.00,13.00,18.00,0.65
43,74.00,210.00,14.00,19.00,0.68
49,74.00,211.00,13.00,18.00,0.66
51,75.00,210.00,14.00,19.00,0.66
61,75.00,211.00,14.00,18.00,0.66
64,74.00,210.00,15.00,20.00,0.67
65,74.00,211.00,13.00,18.00,0.69
67,74.00,210.00,15.00,19.00,0.66
68,75.00,211.00,14.00,18.00,0.67
70,74.00,211.00,13.00,18.00,0.66
78,75.00,210.00,14.00,19.00,0.67
79,75.00,211.00,14.00,18.00,0.66
81,459.00,226.00,23.00,35.00,0.69
88,95.00,234.00,19.00,28.00,0.70
89,96.00,234.00,20.00,28.00,0.80
91,491.00,248.00,16.00,23.00,0.71
115,323.00,248.00,16.00,23.00,0.69
117,491.00,248.00,16.00,24.00,0.67
118,491.00,249.00,16.00,24.00,0.65
119,491.00,248.00,16.00,24.00,0.70
120,491.00,248.00,17.00,23.00,0.72
121,49.00,211.00,32.00,33.00,0.82
122,87.00,212.00,31.00,35.00,0.82
123,120.00,214.00,31.00,36.00,0.84
124,160.00,214.00,31.00,35.00,0.83
125,193.00,215.00,30.00,34.00,0.85
126,219.00,218.00,30.00,38.00,0.89
127,257.00,223.00,31.00,40.00,0.83
128,277.00,225.00,32.00,41.00,0.86
129,312.00,226.00,29.00,37.00,0.83
130,338.00,227.00,26.00,33.00,0.78
131,362.00,229.00,30.00,38.00,0.80
132,381.00,229.00,29.00,36.00,0.80
133,394.00,228.00,32.00,40.00,0.84
134,409.00,229.00,34.00,40.00,0.78
135,422.00,228.00,28.00,37.00,0.78
136,425.00,228.00,33.00,38.00,0.80
137,425.00,229.00,31.00,36.00,0.73
138,423.00,228.00,27.00,37.00,0.80
139,408.00,227.00,31.00,38.00,0.83
140,393.00,225.00,23.00,35.00,0.80
141,362.00,223.00,29.00,38.00,0.82
142,327.00,221.00,31.00,39.00,0.80
143,298.00,219.00,32.00,40.00,0.86
144,255.00,217.00,30.00,36.00,0.86
145,206.00,216.00,31.00,37.00,0.87
146,143.00,216.00,32.00,37.00,0.86
147,99.00,219.00,34.00,40.00,0.74
148,52.00,216.00,35.00,39.00,0.77
149,7.00,217.00,15.00,28.00,0.75
153,491.00,249.00,15.00,21.00,0.74
154,491.00,250.00,16.00,22.00,0.75
155,491.00,249.00,17.00,22.00,0.69
156,323.00,248.00,16.00,23.00,0.66
158,322.00,248.00,15.00,23.00,0.68
159,10.00,211.00,21.00,29.00,0.79
160,51.00,216.00,35.00,38.00,0.78
161,96.00,225.00,35.00,43.00,0.85
162,156.00,232.00,31.00,36.00,0.79
163,202.00,236.00,28.00,32.00,0.78
165,305.00,236.00,22.00,32.00,0.69
168,444.00,230.00,23.00,33.00,0.77
169,475.00,229.00,22.00,32.00,0.79
173,475.00,226.00,25.00,34.00,0.71
174,467.00,226.00,27.00,37.00,0.82
175,442.00,226.00,27.00,36.00,0.79
176,411.00,224.00,30.00,37.00,0.77
177,384.00,224.00,31.00,39.00,0.82
178,362.00,225.00,22.00,33.00,0.80
179,319.00,224.00,29.00,36.00,0.81
180,278.00,224.00,31.00,40.00,0.88
181,246.00,223.00,32.00,40.00,0.83
182,196.00,222.00,32.00,42.00,0.85
183,152.00,222.00,34.00,43.00,0.82
184,110.00,221.00,34.00,42.00,0.88
185,58.00,221.00,37.00,46.00,0.87
195,6.00,215.00,13.00,24.00,0.72
196,20.00,216.00,33.00,39.00,0.74
197,74.00,217.00,34.00,41.00,0.83
198,115.00,219.00,35.00,40.00,0.72
199,149.00,220.00,34.00,42.00,0.82
200,193.00,218.00,33.00,39.00,0.86
201,246.00,221.00,32.00,41.00,0.85
202,280.00,223.00,32.00,41.00,0.87
203,324.00,224.00,32.00,41.00,0.84
204,367.00,221.00,26.00,33.00,0.76
205,410.00,221.00,21.00,30.00,0.79
206,439.00,221.00,33.00,40.00,0.79
207,477.00,220.00,30.00,36.00,0.74
208,506.00,220.00,26.00,35.00,0.76
213,461.00,217.00,33.00,36.00,0.76
214,448.00,218.00,30.00,36.00,0.78
215,431.00,220.00,32.00,39.00,0.79
216,416.00,218.00,25.00,33.00,0.79
217,394.00,217.00,32.00,39.00,0.85
218,380.00,217.00,29.00,36.00,0.84
219,358.00,210.00,31.00,31.00,0.82
220,337.00,211.00,31.00,32.00,0.84
221,322.00,214.00,30.00,38.00,0.80
222,303.00,212.00,27.00,33.00,0.84
223,285.00,209.00,27.00,29.00,0.87
224,270.00,208.00,25.00,25.00,0.81
225,260.00,207.00,25.00,26.00,0.74
226,490.00,247.00,17.00,26.00,0.65
227,490.00,246.00,17.00,27.00,0.66
231,630.00,217.00,20.00,35.00,0.66
232,630.00,217.00,20.00,33.00,0.66
235,213.00,208.00,28.00,29.00,0.81
236,212.00,217.00,31.00,36.00,0.83
237,211.00,226.00,33.00,42.00,0.87
238,213.00,228.00,32.00,41.00,0.88
239,216.00,229.00,33.00,40.00,0.87
240,227.00,230.00,30.00,38.00,0.86
241,236.00,229.00,30.00,38.00,0.85
242,254.00,230.00,29.00,37.00,0.83
243,275.00,231.00,31.00,40.00,0.83
244,289.00,231.00,30.00,38.00,0.85
245,308.00,232.00,30.00,38.00,0.73
246,321.00,231.00,30.00,38.00,0.85
247,329.00,229.00,31.00,39.00,0.86
248,337.00,229.00,31.00,39.00,0.82
249,341.00,229.00,32.00,41.00,0.86
250,340.00,228.00,33.00,41.00,0.84
251,338.00,228.00,33.00,41.00,0.84
252,334.00,228.00,28.00,36.00,0.81
253,325.00,229.00,31.00,39.00,0.79
254,314.00,229.00,28.00,36.00,0.87
255,301.00,231.00,28.00,36.00,0.81
256,288.00,232.00,27.00,35.00,0.82
257,278.00,230.00,29.00,37.00,0.80
258,271.00,233.00,29.00,36.00,0.78
259,267.00,231.00,29.00,33.00,0.82
260,267.00,231.00,30.00,34.00,0.83
261,270.00,230.00,28.00,35.00,0.81
262,276.00,231.00,30.00,40.00,0.84
263,289.00,231.00,29.00,38.00,0.86
264,303.00,230.00,27.00,34.00,0.81
265,329.00,232.00,27.00,36.00,0.81
266,362.00,230.00,25.00,34.00,0.83
267,392.00,229.00,23.00,34.00,0.77
268,420.00,229.00,32.00,40.00,0.81
269,455.00,225.00,19.00,29.00,0.76
270,472.00,228.00,34.00,41.00,0.73
271,488.00,227.00,34.00,41.00,0.81
272,499.00,229.00,29.00,38.00,0.77
273,498.00,224.00,20.00,30.00,0.75
274,481.00,225.00,32.00,40.00,0.79
275,466.00,219.00,20.00,28.00,0.75
276,435.00,224.00,26.00,34.00,0.76
277,400.00,221.00,24.00,32.00,0.75
278,364.00,223.00,30.00,38.00,0.77
279,326.00,222.00,31.00,39.00,0.82
280,277.00,220.00,33.00,41.00,0.80
281,227.00,221.00,31.00,40.00,0.83
282,177.00,221.00,33.00,40.00,0.85
283,131.00,220.00,34.00,41.00,0.84
284,89.00,221.00,35.00,44.00,0.87
285,57.00,220.00,35.00,44.00,0.84
286,38.00,221.00,34.00,43.00,0.77
287,24.00,219.00,33.00,40.00,0.85
288,19.00,218.00,33.00,41.00,0.82
289,24.00,220.00,33.00,43.00,0.85
290,41.00,219.00,34.00,42.00,0.81
291,67.00,217.00,35.00,40.00,0.83
292,90.00,218.00,35.00,41.00,0.85
293,131.00,218.00,34.00,41.00,0.84
294,171.00,220.00,32.00,41.00,0.88
295,204.00,220.00,31.00,40.00,0.89
296,258.00,220.00,31.00,39.00,0.81
297,307.00,221.00,32.00,39.00,0.77
298,359.00,217.00,26.00,33.00,0.70
299,407.00,218.00,30.00,36.00,0.78
300,454.00,219.00,33.00,39.00,0.75
301,502.00,219.00,36.00,41.00,0.68
305,498.00,216.00,28.00,35.00,0.79
306,473.00,215.00,31.00,36.00,0.84
307,440.00,216.00,31.00,37.00,0.87
308,393.00,218.00,31.00,38.00,0.87
309,369.00,214.00,30.00,32.00,0.73
310,321.00,215.00,31.00,36.00,0.79
311,491.00,249.00,17.00,22.00,0.72
312,218.00,216.00,30.00,36.00,0.87
313,162.00,212.00,31.00,33.00,0.84
314,106.00,214.00,32.00,37.00,0.80
315,62.00,215.00,32.00,36.00,0.84
316,491.00,249.00,16.00,22.00,0.74
317,491.00,250.00,15.00,21.00,0.70
318,491.00,249.00,16.00,21.00,0.73
319,490.00,249.00,17.00,22.00,0.77
320,494.00,250.00,12.00,19.00,0.67
325,38.00,216.00,34.00,37.00,0.79
326,77.00,216.00,33.00,38.00,0.87
327,143.00,217.00,32.00,36.00,0.83
328,188.00,217.00,31.00,38.00,0.89
330,303.00,217.00,32.00,37.00,0.85
331,350.00,217.00,30.00,34.00,0.77
332,415.00,218.00,29.00,34.00,0.76
333,471.00,219.00,25.00,34.00,0.78
334,506.00,222.00,25.00,34.00,0.73
335,507.00,218.00,23.00,31.00,0.66
337,497.00,220.00,23.00,33.00,0.75
338,480.00,220.00,23.00,30.00,0.77
339,438.00,219.00,33.00,38.00,0.78
340,403.00,215.00,33.00,33.00,0.70
341,360.00,217.00,30.00,36.00,0.84
342,320.00,218.00,30.00,36.00,0.85
343,284.00,216.00,28.00,34.00,0.84
344,237.00,214.00,29.00,34.00,0.85
345,191.00,214.00,31.00,35.00,0.85
346,143.00,214.00,31.00,34.00,0.74
347,96.00,216.00,33.00,36.00,0.72
348,39.00,218.00,33.00,41.00,0.79
349,4.00,220.00,9.00,24.00,0.71
361,33.00,226.00,37.00,44.00,0.82
362,97.00,223.00,34.00,39.00,0.78
